variable,frame_type,loss_frame,mean,sd,n
desired_rounds_next_time,skill,near_miss,2.1363636363636362,1.67034226733424,22
desired_rounds_next_time,skill,clear_loss,2.608695652173913,1.971135584903065,23
desired_rounds_next_time,luck,near_miss,2.0,2.047065262876636,22
desired_rounds_next_time,luck,clear_loss,2.0454545454545454,2.1039027844477336,22
expected_success,skill,near_miss,2.909090909090909,1.7157281089155543,22
expected_success,skill,clear_loss,2.217391304347826,2.194135193877501,23
expected_success,luck,near_miss,2.9545454545454546,2.192569111193375,22
expected_success,luck,clear_loss,1.5454545454545454,0.8578640544577771,22
app_download_likelihood,skill,near_miss,1.8181818181818181,1.2960145368218983,22
app_download_likelihood,skill,clear_loss,2.260869565217391,1.982133637003497,23
app_download_likelihood,luck,near_miss,2.5454545454545454,1.9694638556693238,22
app_download_likelihood,luck,clear_loss,1.7272727272727273,1.5790840679034452,22
motivation,skill,near_miss,4.090909090909091,1.973855084879307,22
motivation,skill,clear_loss,4.086956521739131,2.294520022659935,23
motivation,luck,near_miss,3.0454545454545454,2.1039027844477336,22
motivation,luck,clear_loss,3.227272727272727,1.8754508837386323,22
improvement_confidence,skill,near_miss,3.590909090909091,2.1304837570282107,22
improvement_confidence,skill,clear_loss,2.9565217391304346,1.9651107040193392,23
improvement_confidence,luck,near_miss,2.8181818181818183,1.9672645653622367,22
improvement_confidence,luck,clear_loss,2.5,1.7113069358158484,22
learning_potential,skill,near_miss,4.636363636363637,2.012945118960786,22
learning_potential,skill,clear_loss,4.130434782608695,1.8166990000869698,23
learning_potential,luck,near_miss,1.8181818181818181,1.5003607069909057,22
learning_potential,luck,clear_loss,1.5454545454545454,1.143398140351517,22
mediator_composite,skill,near_miss,4.113636363636363,1.9329955668526146,22
mediator_composite,skill,clear_loss,3.5434782608695654,1.6508471893811816,23
mediator_composite,luck,near_miss,2.3181818181818183,1.5777127397525474,22
mediator_composite,luck,clear_loss,2.022727272727273,1.0962845555966876,22
luck_vs_skill,skill,near_miss,3.590909090909091,1.9188064472004938,22
luck_vs_skill,skill,clear_loss,3.9130434782608696,1.9285662002982435,23
luck_vs_skill,luck,near_miss,1.5,1.3363062095621219,22
luck_vs_skill,luck,clear_loss,1.3636363636363635,1.2926699776028188,22
confidence_impact,skill,near_miss,3.590909090909091,2.1304837570282102,22
confidence_impact,skill,clear_loss,3.9565217391304346,2.142179452409184,23
confidence_impact,luck,near_miss,1.8181818181818181,1.7081419489459644,22
confidence_impact,luck,clear_loss,1.1363636363636365,0.46756252909607565,22
final_round_closeness,skill,near_miss,3.3181818181818183,1.9612038003023415,22
final_round_closeness,skill,clear_loss,3.1739130434782608,1.8501148345942666,23
final_round_closeness,luck,near_miss,3.6363636363636362,2.150203856237037,22
final_round_closeness,luck,clear_loss,2.4545454545454546,1.4050003466284178,22
self_rated_accuracy,skill,near_miss,3.0,2.0,22
self_rated_accuracy,skill,clear_loss,2.652173913043478,1.4336442963229918,23
self_rated_accuracy,luck,near_miss,3.3181818181818183,1.8357913471116127,22
self_rated_accuracy,luck,clear_loss,2.227272727272727,1.4452489711965162,22
feedback_credibility,skill,near_miss,3.3636363636363638,2.059714602177749,22
feedback_credibility,skill,clear_loss,4.043478260869565,1.8458371067095627,23
feedback_credibility,luck,near_miss,3.0454545454545454,1.8381479480139455,22
feedback_credibility,luck,clear_loss,2.772727272727273,1.7976656339825074,22
frustration,skill,near_miss,4.045454545454546,1.7037010895686493,22
frustration,skill,clear_loss,3.6956521739130435,2.324470274134726,23
frustration,luck,near_miss,3.727272727272727,2.207817672376701,22
frustration,luck,clear_loss,3.8636363636363638,2.3154852324020254,22
