id,participant_id,timestamp,start_time,end_time,condition_id,frame_type,loss_frame,is_dev,completed
2,P63232,2026-03-05T15:10:16.465578,2026-03-05T15:10:16.465578,2026-03-05T15:11:59.143742,luck_near_miss,luck,near_miss,FALSE,TRUE
3,P83554,2026-03-05T15:15:26.548541,2026-03-05T15:15:26.548541,2026-03-05T15:18:06.596501,skill_clear_loss,skill,clear_loss,FALSE,TRUE
4,P36662,2026-03-05T15:26:10.744403,2026-03-05T15:26:10.744403,2026-03-05T15:28:47.764432,skill_near_miss,skill,near_miss,FALSE,TRUE
5,P85617,2026-03-05T15:26:59.062431,2026-03-05T15:26:59.062431,2026-03-05T15:29:24.124334,luck_clear_loss,luck,clear_loss,FALSE,TRUE
6,P81245,2026-03-05T15:29:07.571767,2026-03-05T15:29:07.571767,,skill_clear_loss,skill,clear_loss,FALSE,FALSE
7,P57067,2026-03-05T15:32:15.391513,2026-03-05T15:32:15.391513,,skill_near_miss,skill,near_miss,FALSE,FALSE
8,P51725,2026-03-05T15:55:41.600616,2026-03-05T15:55:41.600616,2026-03-05T15:58:51.704363,luck_near_miss,luck,near_miss,FALSE,TRUE
9,P36088,2026-03-05T16:06:43.615296,2026-03-05T16:06:43.615296,,luck_clear_loss,luck,clear_loss,FALSE,FALSE
10,P76568,2026-03-05T16:22:25.752577,2026-03-05T16:22:25.752577,,skill_near_miss,skill,near_miss,FALSE,FALSE
11,P49036,2026-03-05T16:41:05.243735,2026-03-05T16:41:05.243735,2026-03-05T16:45:37.141890,skill_clear_loss,skill,clear_loss,FALSE,TRUE
12,P74278,2026-03-05T16:41:55.505145,2026-03-05T16:41:55.505145,2026-03-05T16:44:53.352707,luck_clear_loss,luck,clear_loss,FALSE,TRUE
13,P42594,2026-03-05T16:43:16.615073,2026-03-05T16:43:16.615073,2026-03-05T16:45:34.429746,luck_near_miss,luck,near_miss,FALSE,TRUE
14,P62638,2026-03-05T16:43:42.542438,2026-03-05T16:43:42.542438,2026-03-05T16:45:55.368399,luck_near_miss,luck,near_miss,FALSE,TRUE
15,P46422,2026-03-05T16:56:40.024449,2026-03-05T16:56:40.024449,2026-03-05T17:00:07.698712,skill_clear_loss,skill,clear_loss,FALSE,TRUE
16,P24363,2026-03-05T17:11:59.432921,2026-03-05T17:11:59.432921,2026-03-05T17:15:02.599441,luck_clear_loss,luck,clear_loss,FALSE,TRUE
17,P99531,2026-03-05T17:31:25.734038,2026-03-05T17:31:25.734038,2026-03-05T17:36:40.799803,skill_near_miss,skill,near_miss,FALSE,TRUE
18,P11371,2026-03-05T17:37:16.458087,2026-03-05T17:37:16.458087,2026-03-05T17:39:07.891299,skill_near_miss,skill,near_miss,FALSE,TRUE
19,P27147,2026-03-05T17:37:35.328367,2026-03-05T17:37:35.328367,2026-03-05T17:39:28.051837,luck_clear_loss,luck,clear_loss,FALSE,TRUE
20,P30243,2026-03-05T17:39:10.488906,2026-03-05T17:39:10.488906,2026-03-05T17:42:59.306114,skill_clear_loss,skill,clear_loss,FALSE,TRUE
21,P39073,2026-03-05T17:40:08.104205,2026-03-05T17:40:08.104205,2026-03-05T17:42:37.748236,luck_near_miss,luck,near_miss,FALSE,TRUE
22,P50780,2026-03-05T17:40:36.995451,2026-03-05T17:40:36.995451,2026-03-05T17:43:50.494389,skill_near_miss,skill,near_miss,FALSE,TRUE
23,P43818,2026-03-05T17:55:24.841623,2026-03-05T17:55:24.841623,2026-03-05T17:58:51.467481,skill_clear_loss,skill,clear_loss,FALSE,TRUE
24,P55916,2026-03-05T18:21:02.067337,2026-03-05T18:21:02.067337,2026-03-05T18:27:06.694755,luck_near_miss,luck,near_miss,FALSE,TRUE
25,P42020,2026-03-05T18:28:08.068689,2026-03-05T18:28:08.068689,,luck_clear_loss,luck,clear_loss,FALSE,FALSE
26,P90254,2026-03-05T18:28:34.723306,2026-03-05T18:28:34.723306,,luck_near_miss,luck,near_miss,FALSE,FALSE
27,P26586,2026-03-05T18:30:11.422516,2026-03-05T18:30:11.422516,2026-03-05T18:34:10.937529,skill_clear_loss,skill,clear_loss,FALSE,TRUE
