id,participant_id,timestamp,condition_id,frame_type,loss_frame,wants_more_rounds,desired_rounds_next_time,improvement_confidence,learning_potential,expected_success,app_download_likelihood,confidence_impact,feedback_credibility,self_rated_accuracy,final_round_closeness,frustration,motivation,luck_vs_skill
2,P63232,2026-03-05T15:11:58.867161,luck_near_miss,luck,near_miss,false,0,1,1,1,7,7,1,1,1,7,1,1
3,P83554,2026-03-05T15:18:06.164684,skill_clear_loss,skill,clear_loss,true,3,6,7,4,2,6,6,4,5,7,7,5
4,P36662,2026-03-05T15:28:47.511147,skill_near_miss,skill,near_miss,true,2,2,5,3,3,4,2,2,1,3,4,6
5,P85617,2026-03-05T15:29:23.832030,luck_clear_loss,luck,clear_loss,true,2,2,2,2,1,1,5,2,4,5,3,1
6,P51725,2026-03-05T15:58:51.516091,luck_near_miss,luck,near_miss,true,1,2,1,1,1,1,5,3,7,6,2,1
7,P74278,2026-03-05T16:44:53.143106,luck_clear_loss,luck,clear_loss,true,5,5,1,1,5,1,1,2,1,5,5,1
8,P42594,2026-03-05T16:45:34.251555,luck_near_miss,luck,near_miss,false,0,1,1,2,1,1,1,1,1,1,1,1
9,P49036,2026-03-05T16:45:36.982327,skill_clear_loss,skill,clear_loss,true,5,2,4,0,7,2,7,1,1,3,3,3
10,P62638,2026-03-05T16:45:55.092332,luck_near_miss,luck,near_miss,true,5,1,1,2,3,1,1,3,1,4,7,1
11,P46422,2026-03-05T17:00:06.518325,skill_clear_loss,skill,clear_loss,true,1,2,4,1,3,5,5,4,4,3,5,4
15,P24363,2026-03-05T17:15:02.363322,luck_clear_loss,luck,clear_loss,false,0,1,1,2,1,1,4,4,1,4,4,1
16,P99531,2026-03-05T17:36:40.332601,skill_near_miss,skill,near_miss,true,3,1,1,1,1,1,1,1,2,2,2,3
17,P11371,2026-03-05T17:39:07.671138,skill_near_miss,skill,near_miss,true,3,5,5,1,1,5,5,5,5,7,5,5
18,P27147,2026-03-05T17:39:27.726984,luck_clear_loss,luck,clear_loss,false,0,1,2,0,1,1,4,1,3,7,1,7
19,P39073,2026-03-05T17:42:37.500091,luck_near_miss,luck,near_miss,false,0,1,1,2,1,1,1,1,1,3,1,1
20,P30243,2026-03-05T17:42:59.115556,skill_clear_loss,skill,clear_loss,true,5,1,3,2,1,7,3,1,1,7,7,1
21,P50780,2026-03-05T17:43:49.067122,skill_near_miss,skill,near_miss,true,2,1,2,2,4,3,3,2,3,2,3,4
22,P43818,2026-03-05T17:58:51.272609,skill_clear_loss,skill,clear_loss,false,0,1,7,10,1,3,2,2,1,7,1,7
23,P55916,2026-03-05T18:27:06.326911,luck_near_miss,luck,near_miss,true,1,1,1,4,1,1,5,6,6,1,2,1
24,P26586,2026-03-05T18:34:10.652749,skill_clear_loss,skill,clear_loss,true,5,2,5,3,4,7,3,5,6,5,7,4
25,P30133,2026-03-05T19:16:57.718858,skill_near_miss,skill,near_miss,true,2,3,4,3,1,6,6,3,4,3,4,5
40,P46661,2026-03-05T19:45:44.820697,luck_clear_loss,luck,clear_loss,true,3,1,3,2,1,2,3,1,5,7,5,2
47,P30262,2026-03-05T19:55:26.055688,luck_near_miss,luck,near_miss,true,5,5,1,2,2,1,5,5,6,4,3,1
48,P62672,2026-03-05T20:06:28.987314,luck_clear_loss,luck,clear_loss,false,0,1,1,0,1,1,1,1,1,1,1,1
49,P35952,2026-03-06T05:07:54.380608,skill_clear_loss,skill,clear_loss,false,0,2,3,1,2,2,4,2,3,2,1,2
50,P79424,2026-03-06T12:46:57.841477,skill_clear_loss,skill,clear_loss,true,3,3,2,4,1,2,4,5,2,7,7,5
51,P84532,2026-03-06T12:56:37.004450,luck_near_miss,luck,near_miss,false,0,1,1,1,1,1,3,1,1,1,2,1
52,P64641,2026-03-06T12:59:35.675233,skill_near_miss,skill,near_miss,true,5,5,6,2,1,2,6,1,1,2,7,1
53,P90746,2026-03-06T13:12:01.061130,luck_clear_loss,luck,clear_loss,false,0,1,1,1,1,1,3,4,2,7,2,1
54,P82680,2026-03-06T13:18:20.611007,skill_clear_loss,skill,clear_loss,true,3,2,5,0,1,1,2,3,7,3,3,3
