id,participant_id,timestamp,condition_id,frame_type,loss_frame,trial_count,hits,near_misses,losses,age,gender,bdm_course_member
2,P63232,2026-03-05T15:11:59.143756,luck_near_miss,luck,near_miss,5,0,2,3,27,male,false
3,P83554,2026-03-05T15:18:06.596517,skill_clear_loss,skill,clear_loss,5,0,0,5,22,female,false
4,P36662,2026-03-05T15:28:47.764446,skill_near_miss,skill,near_miss,5,1,2,2,23,female,true
5,P85617,2026-03-05T15:29:24.124351,luck_clear_loss,luck,clear_loss,5,1,0,4,24,male,false
6,P51725,2026-03-05T15:58:51.704377,luck_near_miss,luck,near_miss,5,0,2,3,24,male,true
7,P74278,2026-03-05T16:44:53.352725,luck_clear_loss,luck,clear_loss,5,1,0,4,23,male,false
8,P42594,2026-03-05T16:45:34.429759,luck_near_miss,luck,near_miss,5,1,2,2,23,male,false
9,P49036,2026-03-05T16:45:37.141902,skill_clear_loss,skill,clear_loss,5,0,0,5,60,female,false
10,P62638,2026-03-05T16:45:55.368413,luck_near_miss,luck,near_miss,5,0,2,3,23,male,false
13,P46422,2026-03-05T17:00:07.393636,skill_clear_loss,skill,clear_loss,5,1,0,4,57,male,false
15,P24363,2026-03-05T17:15:02.599454,luck_clear_loss,luck,clear_loss,5,1,0,4,23,male,false
16,P99531,2026-03-05T17:36:40.799814,skill_near_miss,skill,near_miss,5,0,2,3,61,male,false
17,P11371,2026-03-05T17:39:07.891312,skill_near_miss,skill,near_miss,5,0,2,3,30,male,false
18,P27147,2026-03-05T17:39:28.051848,luck_clear_loss,luck,clear_loss,5,2,0,3,26,female,false
19,P39073,2026-03-05T17:42:37.748252,luck_near_miss,luck,near_miss,5,1,2,2,23,male,false
20,P30243,2026-03-05T17:42:59.306125,skill_clear_loss,skill,clear_loss,5,0,0,5,56,female,false
21,P50780,2026-03-05T17:43:50.494403,skill_near_miss,skill,near_miss,5,0,2,3,73,male,false
22,P43818,2026-03-05T17:58:51.467493,skill_clear_loss,skill,clear_loss,5,0,0,5,57,male,false
23,P55916,2026-03-05T18:27:06.694770,luck_near_miss,luck,near_miss,5,2,2,1,26,female,false
24,P26586,2026-03-05T18:34:10.937540,skill_clear_loss,skill,clear_loss,5,0,0,5,25,female,false
25,P30133,2026-03-05T19:16:58.324854,skill_near_miss,skill,near_miss,5,0,2,3,26,female,false
26,P46661,2026-03-05T19:45:45.116595,luck_clear_loss,luck,clear_loss,5,1,0,4,33,female,false
27,P30262,2026-03-05T19:55:26.253504,luck_near_miss,luck,near_miss,5,0,2,3,23,male,false
28,P62672,2026-03-05T20:06:29.168928,luck_clear_loss,luck,clear_loss,5,0,0,5,23,male,false
29,P35952,2026-03-06T05:07:56.274405,skill_clear_loss,skill,clear_loss,5,0,0,5,23,male,false
30,P79424,2026-03-06T12:46:58.032789,skill_clear_loss,skill,clear_loss,5,1,0,4,27,female,false
31,P84532,2026-03-06T12:56:37.335532,luck_near_miss,luck,near_miss,5,0,2,3,48,male,true
32,P64641,2026-03-06T12:59:36.138423,skill_near_miss,skill,near_miss,5,0,2,3,57,female,false
33,P90746,2026-03-06T13:12:01.268501,luck_clear_loss,luck,clear_loss,5,0,0,5,22,female,true
34,P82680,2026-03-06T13:18:20.868394,skill_clear_loss,skill,clear_loss,5,0,0,5,25,male,false
36,P26335,2026-03-06T13:19:26.789058,luck_near_miss,luck,near_miss,5,0,2,3,24,female,false
37,P35102,2026-03-06T13:19:42.850707,skill_near_miss,skill,near_miss,5,0,2,3,25,male,false
38,P57917,2026-03-06T13:22:51.038931,luck_clear_loss,luck,clear_loss,5,1,0,4,25,male,false
39,P81438,2026-03-06T13:27:28.372933,luck_clear_loss,luck,clear_loss,5,0,0,5,25,female,false
40,P17108,2026-03-06T13:54:17.391957,skill_near_miss,skill,near_miss,5,0,2,3,24,male,false
41,P28287,2026-03-06T14:11:58.648506,luck_near_miss,luck,near_miss,5,2,2,1,25,female,false
42,P19978,2026-03-06T14:28:29.313705,skill_clear_loss,skill,clear_loss,5,0,0,5,28,female,false
43,P86100,2026-03-06T14:50:47.912785,skill_clear_loss,skill,clear_loss,5,2,0,3,29,female,false
44,P47795,2026-03-06T15:37:53.490408,skill_near_miss,skill,near_miss,5,1,2,2,26,male,false
45,P58438,2026-03-06T16:08:27.100813,luck_clear_loss,luck,clear_loss,5,0,0,5,27,male,false
46,P84258,2026-03-06T17:17:53.733100,luck_near_miss,luck,near_miss,5,1,2,2,22,male,false
47,P91890,2026-03-06T18:47:33.319198,skill_clear_loss,skill,clear_loss,5,0,0,5,24,female,false
48,P53432,2026-03-06T18:47:53.805606,luck_clear_loss,luck,clear_loss,5,1,0,4,21,female,false
49,P64831,2026-03-06T18:48:12.236615,skill_near_miss,skill,near_miss,5,0,2,3,26,male,false
50,P33963,2026-03-06T18:49:18.507846,luck_near_miss,luck,near_miss,5,0,2,3,25,male,false
51,P35859,2026-03-06T18:49:28.956610,luck_clear_loss,luck,clear_loss,5,1,0,4,25,male,false
52,P83648,2026-03-06T19:02:34.559105,skill_clear_loss,skill,clear_loss,5,0,0,5,44,female,false
53,P22181,2026-03-06T19:04:10.779039,skill_near_miss,skill,near_miss,5,0,2,3,25,male,false
54,P35424,2026-03-06T19:06:10.878087,skill_near_miss,skill,near_miss,5,1,2,2,19,female,false
55,P38368,2026-03-06T19:07:16.449467,luck_clear_loss,luck,clear_loss,5,1,0,4,18,female,false
56,P57826,2026-03-06T19:17:17.226228,luck_near_miss,luck,near_miss,5,0,2,3,23,male,false
57,P36643,2026-03-06T19:20:50.530098,skill_clear_loss,skill,clear_loss,5,0,0,5,23,female,false
58,P31574,2026-03-06T19:20:51.054692,luck_near_miss,luck,near_miss,5,1,2,2,18,male,false
59,P15919,2026-03-06T19:42:00.963648,skill_near_miss,skill,near_miss,5,2,2,1,30,male,false
60,P66533,2026-03-06T19:48:15.238657,skill_clear_loss,skill,clear_loss,5,0,0,5,24,male,false
61,P77417,2026-03-06T20:31:14.208675,luck_clear_loss,luck,clear_loss,5,1,0,4,26,male,true
62,P97505,2026-03-06T20:38:48.805016,luck_near_miss,luck,near_miss,5,0,2,3,25,male,false
63,P31126,2026-03-06T20:44:03.296555,skill_clear_loss,skill,clear_loss,5,2,0,3,22,female,true
64,P99822,2026-03-06T21:00:53.766674,skill_near_miss,skill,near_miss,5,0,2,3,26,male,false
65,P54923,2026-03-06T21:04:17.592356,luck_near_miss,luck,near_miss,5,1,2,2,67,female,false
66,P20334,2026-03-06T21:25:08.328493,luck_clear_loss,luck,clear_loss,5,0,0,5,48,male,true
67,P18871,2026-03-06T21:32:30.847159,skill_near_miss,skill,near_miss,5,0,2,3,24,female,false
68,P15832,2026-03-06T21:55:59.015826,luck_clear_loss,luck,clear_loss,5,1,0,4,45,female,false
69,P40059,2026-03-06T22:14:35.051468,skill_near_miss,skill,near_miss,5,0,2,3,28,male,false
70,P93156,2026-03-06T23:09:24.117298,luck_clear_loss,luck,clear_loss,5,0,0,5,26,male,false
71,P37902,2026-03-07T01:02:03.641292,skill_near_miss,skill,near_miss,5,1,2,2,25,female,false
72,P11767,2026-03-07T06:17:26.631511,luck_near_miss,luck,near_miss,5,0,2,3,24,male,false
73,P23515,2026-03-07T06:47:30.264878,skill_clear_loss,skill,clear_loss,5,0,0,5,45,female,false
74,P94137,2026-03-07T08:39:15.368818,skill_clear_loss,skill,clear_loss,5,0,0,5,58,female,false
75,P98472,2026-03-07T08:48:41.114881,luck_near_miss,luck,near_miss,5,0,2,3,58,male,false
76,P21617,2026-03-07T09:21:36.172152,luck_clear_loss,luck,clear_loss,5,0,0,5,24,male,false
77,P65491,2026-03-07T09:35:58.422146,skill_near_miss,skill,near_miss,5,2,2,1,22,female,false
78,P54708,2026-03-07T09:41:49.984868,luck_clear_loss,luck,clear_loss,5,0,0,5,24,male,false
79,P32448,2026-03-07T10:21:24.025041,skill_clear_loss,skill,clear_loss,5,0,0,5,23,male,false
80,P26754,2026-03-07T11:38:44.803218,skill_near_miss,skill,near_miss,5,0,2,3,26,male,true
81,P21453,2026-03-07T12:58:52.132262,luck_near_miss,luck,near_miss,5,0,2,3,24,female,true
82,P53524,2026-03-07T13:01:04.586915,luck_near_miss,luck,near_miss,5,0,2,3,29,male,false
