id,participant_id,timestamp,condition_id,frame_type,loss_frame,trial_number,bar_position,target_zone_start,target_zone_end,distance_from_center,true_outcome,framed_outcome
6,P63232,2026-03-05T15:10:30.223537,luck_near_miss,luck,near_miss,1,67,21,29,42,loss,loss
7,P63232,2026-03-05T15:10:41.508686,luck_near_miss,luck,near_miss,2,6,66,74,36,loss,loss
8,P63232,2026-03-05T15:10:53.111371,luck_near_miss,luck,near_miss,3,11,65,73,42,loss,loss
9,P63232,2026-03-05T15:11:04.486478,luck_near_miss,luck,near_miss,4,54,45,53,5,near_miss,near_miss
10,P63232,2026-03-05T15:11:16.263696,luck_near_miss,luck,near_miss,5,25,26,34,5,near_miss,near_miss
11,P83554,2026-03-05T15:15:46.743011,skill_clear_loss,skill,clear_loss,1,8.17,34.19,44.19,31.02,loss,loss
12,P83554,2026-03-05T15:15:54.698313,skill_clear_loss,skill,clear_loss,2,95.6,40.8,50.8,49.8,loss,loss
13,P83554,2026-03-05T15:16:01.163255,skill_clear_loss,skill,clear_loss,3,3.71,32.51,42.51,33.8,loss,loss
14,P83554,2026-03-05T15:16:09.550804,skill_clear_loss,skill,clear_loss,4,15.37,37.22,47.22,26.85,loss,loss
15,P83554,2026-03-05T15:16:17.489915,skill_clear_loss,skill,clear_loss,5,3.71,42.44,52.44,43.72,loss,loss
16,P36662,2026-03-05T15:26:50.466248,skill_near_miss,skill,near_miss,1,41.77,38.07,48.07,1.3,hit,hit
17,P36662,2026-03-05T15:26:57.560747,skill_near_miss,skill,near_miss,2,62,30.68,40.68,26.32,loss,loss
18,P36662,2026-03-05T15:27:04.004159,skill_near_miss,skill,near_miss,3,79.14,44.38,54.38,29.76,loss,loss
19,P36662,2026-03-05T15:27:12.064695,skill_near_miss,skill,near_miss,4,97.31,45.11,55.11,47.2,loss,near_miss
20,P36662,2026-03-05T15:27:19.481163,skill_near_miss,skill,near_miss,5,66.8,32.18,42.18,29.62,loss,near_miss
21,P85617,2026-03-05T15:27:29.474429,luck_clear_loss,luck,clear_loss,1,46,39,47,3,hit,hit
22,P85617,2026-03-05T15:27:42.397848,luck_clear_loss,luck,clear_loss,2,66,22,30,40,loss,loss
23,P85617,2026-03-05T15:27:53.817718,luck_clear_loss,luck,clear_loss,3,94,47,55,43,loss,loss
24,P85617,2026-03-05T15:28:06.586766,luck_clear_loss,luck,clear_loss,4,96,52,60,40,loss,loss
25,P85617,2026-03-05T15:28:18.416216,luck_clear_loss,luck,clear_loss,5,11,64,72,43,loss,loss
26,P81245,2026-03-05T15:29:15.981933,skill_clear_loss,skill,clear_loss,1,9.89,33.99,43.99,29.1,loss,loss
27,P51725,2026-03-05T15:56:09.144556,luck_near_miss,luck,near_miss,1,67,23,31,40,loss,loss
28,P51725,2026-03-05T15:56:20.653822,luck_near_miss,luck,near_miss,2,61,24,32,33,loss,loss
29,P51725,2026-03-05T15:56:32.455622,luck_near_miss,luck,near_miss,3,75,27,35,44,loss,loss
30,P51725,2026-03-05T15:56:44.449191,luck_near_miss,luck,near_miss,4,50,41,49,5,near_miss,near_miss
31,P51725,2026-03-05T15:56:57.195251,luck_near_miss,luck,near_miss,5,15,16,24,5,near_miss,near_miss
32,P76568,2026-03-05T16:22:32.288512,skill_near_miss,skill,near_miss,1,4.74,33.05,43.05,33.31,loss,loss
33,P76568,2026-03-05T16:22:48.344027,skill_near_miss,skill,near_miss,2,15.03,36.89,46.89,26.86,loss,loss
34,P76568,2026-03-05T16:22:55.884371,skill_near_miss,skill,near_miss,3,66.46,46.85,56.85,14.61,near_miss,loss
35,P76568,2026-03-05T16:23:02.682731,skill_near_miss,skill,near_miss,4,61.66,45.48,55.48,11.17,near_miss,near_miss
36,P76568,2026-03-05T16:23:11.495817,skill_near_miss,skill,near_miss,5,58.91,45.59,55.59,8.33,near_miss,near_miss
37,P49036,2026-03-05T16:41:32.219783,skill_clear_loss,skill,clear_loss,1,73.66,45.1,55.1,23.55,loss,loss
38,P49036,2026-03-05T16:41:41.149131,skill_clear_loss,skill,clear_loss,2,37.31,43.2,53.2,10.88,near_miss,loss
39,P49036,2026-03-05T16:41:49.857440,skill_clear_loss,skill,clear_loss,3,35.94,48.46,58.46,17.52,near_miss,loss
40,P49036,2026-03-05T16:41:56.258612,skill_clear_loss,skill,clear_loss,4,49.31,48.14,58.14,3.82,hit,loss
41,P49036,2026-03-05T16:42:04.617118,skill_clear_loss,skill,clear_loss,5,40.06,47.02,57.02,11.96,near_miss,loss
42,P74278,2026-03-05T16:42:19.116666,luck_clear_loss,luck,clear_loss,1,37,32,40,1,hit,hit
43,P74278,2026-03-05T16:42:33.440804,luck_clear_loss,luck,clear_loss,2,5,66,74,35,loss,loss
44,P74278,2026-03-05T16:42:44.966051,luck_clear_loss,luck,clear_loss,3,16,72,80,40,loss,loss
45,P74278,2026-03-05T16:42:56.280368,luck_clear_loss,luck,clear_loss,4,21,68,76,49,loss,loss
46,P74278,2026-03-05T16:43:07.760120,luck_clear_loss,luck,clear_loss,5,4,67,75,33,loss,loss
47,P42594,2026-03-05T16:43:40.913738,luck_near_miss,luck,near_miss,1,71,65,73,2,hit,hit
48,P42594,2026-03-05T16:43:55.316621,luck_near_miss,luck,near_miss,2,85,39,47,42,loss,loss
49,P62638,2026-03-05T16:44:04.295182,luck_near_miss,luck,near_miss,1,2,49,57,49,loss,loss
50,P42594,2026-03-05T16:44:08.301155,luck_near_miss,luck,near_miss,3,73,18,26,49,loss,loss
51,P62638,2026-03-05T16:44:16.200229,luck_near_miss,luck,near_miss,2,15,67,75,44,loss,loss
52,P42594,2026-03-05T16:44:19.675917,luck_near_miss,luck,near_miss,4,54,55,63,5,near_miss,near_miss
53,P62638,2026-03-05T16:44:27.872933,luck_near_miss,luck,near_miss,3,99,51,59,44,loss,loss
54,P42594,2026-03-05T16:44:33.433211,luck_near_miss,luck,near_miss,5,28,19,27,5,near_miss,near_miss
55,P62638,2026-03-05T16:44:39.410024,luck_near_miss,luck,near_miss,4,59,50,58,5,near_miss,near_miss
56,P62638,2026-03-05T16:44:52.828343,luck_near_miss,luck,near_miss,5,47,48,56,5,near_miss,near_miss
57,P46422,2026-03-05T16:57:23.848142,skill_clear_loss,skill,clear_loss,1,78.11,41.42,51.42,31.69,loss,loss
58,P46422,2026-03-05T16:57:32.344933,skill_clear_loss,skill,clear_loss,2,43.14,42.19,52.19,4.04,hit,hit
