id,participant_id,timestamp,condition_id,frame_type,loss_frame,trial_count,hits,near_misses,losses,age,gender,bdm_course_member,record_type,desired_rounds_next_time,improvement_confidence,learning_potential,expected_success,app_download_likelihood,confidence_impact,feedback_credibility,self_rated_accuracy,final_round_closeness,frustration,motivation,luck_vs_skill,is_dev,mediator_composite,wants_more_rounds
17,P11371,2026-03-05 17:39:07.891312,skill_near_miss,skill,near_miss,5,0,2,3,30,male,False,summary,3,5,5,1,1,5,5,5,5,7,5,5,False,5.0,True
72,P11767,2026-03-07 06:17:26.631511,luck_near_miss,luck,near_miss,5,0,2,3,24,male,False,summary,2,6,2,3,3,1,5,4,5,4,4,1,False,4.0,True
68,P15832,2026-03-06 21:55:59.015826,luck_clear_loss,luck,clear_loss,5,1,0,4,45,female,False,summary,5,1,1,1,1,1,5,1,1,6,3,1,False,1.0,True
59,P15919,2026-03-06 19:42:00.963648,skill_near_miss,skill,near_miss,5,2,2,1,30,male,False,summary,3,3,5,4,1,3,3,4,5,5,6,2,False,4.0,True
40,P17108,2026-03-06 13:54:17.391957,skill_near_miss,skill,near_miss,5,0,2,3,24,male,False,summary,0,7,7,4,4,6,2,3,3,5,6,2,False,7.0,False
88,P17527,2026-03-07 17:07:11.595641,luck_near_miss,luck,near_miss,5,0,2,3,28,female,True,summary,2,5,2,3,7,1,4,2,6,6,6,1,False,3.5,True
67,P18871,2026-03-06 21:32:30.847159,skill_near_miss,skill,near_miss,5,0,2,3,24,female,False,summary,2,1,2,2,1,1,1,1,3,5,3,1,False,1.5,True
42,P19978,2026-03-06 14:28:29.313705,skill_clear_loss,skill,clear_loss,5,0,0,5,28,female,False,summary,1,1,3,1,1,3,1,1,1,2,1,7,False,2.0,True
66,P20334,2026-03-06 21:25:08.328493,luck_clear_loss,luck,clear_loss,5,0,0,5,48,male,True,summary,0,1,1,0,1,1,1,1,1,1,1,1,False,1.0,False
81,P21453,2026-03-07 12:58:52.132262,luck_near_miss,luck,near_miss,5,0,2,3,24,female,True,summary,3,4,5,7,6,6,5,5,6,6,5,6,False,4.5,True
76,P21617,2026-03-07 09:21:36.172152,luck_clear_loss,luck,clear_loss,5,0,0,5,24,male,False,summary,0,5,1,2,1,1,1,3,3,3,3,2,False,3.0,False
