id,participant_id,timestamp,condition_id,frame_type,loss_frame,trial_number,bar_position,target_zone_start,target_zone_end,distance_from_center,true_outcome,framed_outcome,record_type
6,P63232,2026-03-05 15:10:30.223537,luck_near_miss,luck,near_miss,1,67.0,21.0,29.0,42.0,loss,loss,trial
7,P63232,2026-03-05 15:10:41.508686,luck_near_miss,luck,near_miss,2,6.0,66.0,74.0,36.0,loss,loss,trial
8,P63232,2026-03-05 15:10:53.111371,luck_near_miss,luck,near_miss,3,11.0,65.0,73.0,42.0,loss,loss,trial
9,P63232,2026-03-05 15:11:04.486478,luck_near_miss,luck,near_miss,4,54.0,45.0,53.0,5.0,near_miss,near_miss,trial
10,P63232,2026-03-05 15:11:16.263696,luck_near_miss,luck,near_miss,5,25.0,26.0,34.0,5.0,near_miss,near_miss,trial
11,P83554,2026-03-05 15:15:46.743011,skill_clear_loss,skill,clear_loss,1,8.17,34.19,44.19,31.02,loss,loss,trial
12,P83554,2026-03-05 15:15:54.698313,skill_clear_loss,skill,clear_loss,2,95.6,40.8,50.8,49.8,loss,loss,trial
13,P83554,2026-03-05 15:16:01.163255,skill_clear_loss,skill,clear_loss,3,3.71,32.51,42.51,33.8,loss,loss,trial
14,P83554,2026-03-05 15:16:09.550804,skill_clear_loss,skill,clear_loss,4,15.37,37.22,47.22,26.85,loss,loss,trial
15,P83554,2026-03-05 15:16:17.489915,skill_clear_loss,skill,clear_loss,5,3.71,42.44,52.44,43.72,loss,loss,trial
16,P36662,2026-03-05 15:26:50.466248,skill_near_miss,skill,near_miss,1,41.77,38.07,48.07,1.3,hit,hit,trial
17,P36662,2026-03-05 15:26:57.560747,skill_near_miss,skill,near_miss,2,62.0,30.68,40.68,26.32,loss,loss,trial
18,P36662,2026-03-05 15:27:04.004159,skill_near_miss,skill,near_miss,3,79.14,44.38,54.38,29.76,loss,loss,trial
19,P36662,2026-03-05 15:27:12.064695,skill_near_miss,skill,near_miss,4,97.31,45.11,55.11,47.2,loss,near_miss,trial
20,P36662,2026-03-05 15:27:19.481163,skill_near_miss,skill,near_miss,5,66.8,32.18,42.18,29.62,loss,near_miss,trial
21,P85617,2026-03-05 15:27:29.474429,luck_clear_loss,luck,clear_loss,1,46.0,39.0,47.0,3.0,hit,hit,trial
22,P85617,2026-03-05 15:27:42.397848,luck_clear_loss,luck,clear_loss,2,66.0,22.0,30.0,40.0,loss,loss,trial
23,P85617,2026-03-05 15:27:53.817718,luck_clear_loss,luck,clear_loss,3,94.0,47.0,55.0,43.0,loss,loss,trial
24,P85617,2026-03-05 15:28:06.586766,luck_clear_loss,luck,clear_loss,4,96.0,52.0,60.0,40.0,loss,loss,trial
25,P85617,2026-03-05 15:28:18.416216,luck_clear_loss,luck,clear_loss,5,11.0,64.0,72.0,43.0,loss,loss,trial
27,P51725,2026-03-05 15:56:09.144556,luck_near_miss,luck,near_miss,1,67.0,23.0,31.0,40.0,loss,loss,trial
28,P51725,2026-03-05 15:56:20.653822,luck_near_miss,luck,near_miss,2,61.0,24.0,32.0,33.0,loss,loss,trial
29,P51725,2026-03-05 15:56:32.455622,luck_near_miss,luck,near_miss,3,75.0,27.0,35.0,44.0,loss,loss,trial
30,P51725,2026-03-05 15:56:44.449191,luck_near_miss,luck,near_miss,4,50.0,41.0,49.0,5.0,near_miss,near_miss,trial
31,P51725,2026-03-05 15:56:57.195251,luck_near_miss,luck,near_miss,5,15.0,16.0,24.0,5.0,near_miss,near_miss,trial
37,P49036,2026-03-05 16:41:32.219783,skill_clear_loss,skill,clear_loss,1,73.66,45.1,55.1,23.55,loss,loss,trial
38,P49036,2026-03-05 16:41:41.149131,skill_clear_loss,skill,clear_loss,2,37.31,43.2,53.2,10.88,near_miss,loss,trial
39,P49036,2026-03-05 16:41:49.857440,skill_clear_loss,skill,clear_loss,3,35.94,48.46,58.46,17.52,near_miss,loss,trial
40,P49036,2026-03-05 16:41:56.258612,skill_clear_loss,skill,clear_loss,4,49.31,48.14,58.14,3.82,hit,loss,trial
41,P49036,2026-03-05 16:42:04.617118,skill_clear_loss,skill,clear_loss,5,40.06,47.02,57.02,11.96,near_miss,loss,trial
42,P74278,2026-03-05 16:42:19.116666,luck_clear_loss,luck,clear_loss,1,37.0,32.0,40.0,1.0,hit,hit,trial
43,P74278,2026-03-05 16:42:33.440804,luck_clear_loss,luck,clear_loss,2,5.0,66.0,74.0,35.0,loss,loss,trial
44,P74278,2026-03-05 16:42:44.966051,luck_clear_loss,luck,clear_loss,3,16.0,72.0,80.0,40.0,loss,loss,trial
45,P74278,2026-03-05 16:42:56.280368,luck_clear_loss,luck,clear_loss,4,21.0,68.0,76.0,49.0,loss,loss,trial
46,P74278,2026-03-05 16:43:07.760120,luck_clear_loss,luck,clear_loss,5,4.0,67.0,75.0,33.0,loss,loss,trial
47,P42594,2026-03-05 16:43:40.913738,luck_near_miss,luck,near_miss,1,71.0,65.0,73.0,2.0,hit,hit,trial
48,P42594,2026-03-05 16:43:55.316621,luck_near_miss,luck,near_miss,2,85.0,39.0,47.0,42.0,loss,loss,trial
49,P62638,2026-03-05 16:44:04.295182,luck_near_miss,luck,near_miss,1,2.0,49.0,57.0,49.0,loss,loss,trial
50,P42594,2026-03-05 16:44:08.301155,luck_near_miss,luck,near_miss,3,73.0,18.0,26.0,49.0,loss,loss,trial
51,P62638,2026-03-05 16:44:16.200229,luck_near_miss,luck,near_miss,2,15.0,67.0,75.0,44.0,loss,loss,trial
52,P42594,2026-03-05 16:44:19.675917,luck_near_miss,luck,near_miss,4,54.0,55.0,63.0,5.0,near_miss,near_miss,trial
53,P62638,2026-03-05 16:44:27.872933,luck_near_miss,luck,near_miss,3,99.0,51.0,59.0,44.0,loss,loss,trial
54,P42594,2026-03-05 16:44:33.433211,luck_near_miss,luck,near_miss,5,28.0,19.0,27.0,5.0,near_miss,near_miss,trial
55,P62638,2026-03-05 16:44:39.410024,luck_near_miss,luck,near_miss,4,59.0,50.0,58.0,5.0,near_miss,near_miss,trial
56,P62638,2026-03-05 16:44:52.828343,luck_near_miss,luck,near_miss,5,47.0,48.0,56.0,5.0,near_miss,near_miss,trial
57,P46422,2026-03-05 16:57:23.848142,skill_clear_loss,skill,clear_loss,1,78.11,41.42,51.42,31.69,loss,loss,trial
58,P46422,2026-03-05 16:57:32.344933,skill_clear_loss,skill,clear_loss,2,43.14,42.19,52.19,4.04,hit,hit,trial
59,P46422,2026-03-05 16:57:41.135272,skill_clear_loss,skill,clear_loss,3,72.63,49.28,59.28,18.35,near_miss,loss,trial
60,P46422,2026-03-05 16:57:50.564608,skill_clear_loss,skill,clear_loss,4,85.31,33.59,43.59,46.72,loss,loss,trial
61,P46422,2026-03-05 16:57:59.965567,skill_clear_loss,skill,clear_loss,5,49.66,44.58,54.58,0.08,hit,loss,trial
62,P24363,2026-03-05 17:12:34.210310,luck_clear_loss,luck,clear_loss,1,15.0,63.0,71.0,48.0,loss,loss,trial
63,P24363,2026-03-05 17:12:46.193152,luck_clear_loss,luck,clear_loss,2,37.0,33.0,41.0,0.0,hit,hit,trial
64,P24363,2026-03-05 17:12:58.008760,luck_clear_loss,luck,clear_loss,3,71.0,32.0,40.0,35.0,loss,loss,trial
65,P24363,2026-03-05 17:13:09.273278,luck_clear_loss,luck,clear_loss,4,93.0,54.0,62.0,35.0,loss,loss,trial
66,P24363,2026-03-05 17:13:26.020410,luck_clear_loss,luck,clear_loss,5,91.0,54.0,62.0,33.0,loss,loss,trial
67,P99531,2026-03-05 17:32:04.969860,skill_near_miss,skill,near_miss,1,92.51,38.65,48.65,48.86,loss,loss,trial
68,P99531,2026-03-05 17:34:08.288221,skill_near_miss,skill,near_miss,2,41.09,49.52,59.52,13.44,near_miss,loss,trial
69,P99531,2026-03-05 17:34:17.623443,skill_near_miss,skill,near_miss,3,29.09,45.8,55.8,21.72,loss,loss,trial
70,P99531,2026-03-05 17:34:25.791372,skill_near_miss,skill,near_miss,4,17.09,46.13,56.13,34.04,loss,near_miss,trial
71,P99531,2026-03-05 17:34:36.959339,skill_near_miss,skill,near_miss,5,62.69,47.27,57.27,10.42,near_miss,near_miss,trial
72,P11371,2026-03-05 17:37:26.621620,skill_near_miss,skill,near_miss,1,73.31,31.05,41.05,37.26,loss,loss,trial
73,P11371,2026-03-05 17:37:34.061033,skill_near_miss,skill,near_miss,2,15.03,39.58,49.58,29.55,loss,loss,trial
74,P11371,2026-03-05 17:37:42.322714,skill_near_miss,skill,near_miss,3,96.97,41.23,51.23,50.74,loss,loss,trial
75,P27147,2026-03-05 17:37:48.816925,luck_clear_loss,luck,clear_loss,1,72.0,65.0,73.0,3.0,hit,hit,trial
76,P11371,2026-03-05 17:37:51.205055,skill_near_miss,skill,near_miss,4,20.17,33.37,43.37,18.19,near_miss,near_miss,trial
77,P11371,2026-03-05 17:38:00.611986,skill_near_miss,skill,near_miss,5,22.23,32.72,42.72,15.49,near_miss,near_miss,trial
78,P27147,2026-03-05 17:38:02.030478,luck_clear_loss,luck,clear_loss,2,73.0,71.0,79.0,2.0,hit,hit,trial
79,P27147,2026-03-05 17:38:14.045282,luck_clear_loss,luck,clear_loss,3,63.0,23.0,31.0,36.0,loss,loss,trial
80,P27147,2026-03-05 17:38:26.711676,luck_clear_loss,luck,clear_loss,4,69.0,29.0,37.0,36.0,loss,loss,trial
81,P27147,2026-03-05 17:38:39.391790,luck_clear_loss,luck,clear_loss,5,3.0,49.0,57.0,50.0,loss,loss,trial
82,P30243,2026-03-05 17:40:13.040049,skill_clear_loss,skill,clear_loss,1,59.26,35.61,45.61,18.65,near_miss,loss,trial
